Binary LJ intro data file

864 atoms

2 atom types

0.0 10.25985568 xlo xhi
0.0 10.25985568 ylo yhi
0.0 10.25985568 zlo zhi

Masses

1 1.0
2 1.0

Atoms # atomic

251 2 2.56496392 6.83990379 4.27493987
252 2 1.70997595 7.69489176 4.27493987
253 2 1.70997595 6.83990379 5.12992784
254 1 2.56496392 7.69489176 5.12992784
255 2 2.56496392 6.83990379 5.98491581
256 2 1.70997595 7.69489176 5.98491581
257 2 1.70997595 6.83990379 6.83990379
258 1 2.56496392 7.69489176 6.83990379
259 1 2.56496392 6.83990379 7.69489176
260 1 1.70997595 7.69489176 7.69489176
261 2 1.70997595 6.83990379 8.54987973
262 1 2.56496392 7.69489176 8.54987973
263 2 2.56496392 6.83990379 9.40486771
264 1 1.70997595 7.69489176 9.40486771
265 1 1.70997595 8.54987973 0.00000000
266 2 2.56496392 9.40486771 0.00000000
267 1 2.56496392 8.54987973 0.85498797
268 2 1.70997595 9.40486771 0.85498797
269 2 1.70997595 8.54987973 1.70997595
270 1 2.56496392 9.40486771 1.70997595
271 2 2.56496392 8.54987973 2.56496392
272 1 1.70997595 9.40486771 2.56496392
273 2 1.70997595 8.54987973 3.41995189
274 1 2.56496392 9.40486771 3.41995189
275 2 2.56496392 8.54987973 4.27493987
276 2 1.70997595 9.40486771 4.27493987
277 2 1.70997595 8.54987973 5.12992784
278 2 2.56496392 9.40486771 5.12992784
279 2 2.56496392 8.54987973 5.98491581
280 2 1.70997595 9.40486771 5.98491581
281 2 1.70997595 8.54987973 6.83990379
282 1 2.56496392 9.40486771 6.83990379
283 1 2.56496392 8.54987973 7.69489176
284 1 1.70997595 9.40486771 7.69489176
285 1 1.70997595 8.54987973 8.54987973
286 1 2.56496392 9.40486771 8.54987973
287 1 2.56496392 8.54987973 9.40486771
288 2 1.70997595 9.40486771 9.40486771
289 2 3.41995189 0.00000000 0.00000000
290 2 4.27493987 0.85498797 0.00000000
291 1 4.27493987 0.00000000 0.85498797
292 2 3.41995189 0.85498797 0.85498797
293 2 3.41995189 0.00000000 1.70997595
294 1 4.27493987 0.85498797 1.70997595
295 1 4.27493987 0.00000000 2.56496392
296 1 3.41995189 0.85498797 2.56496392
297 2 3.41995189 0.00000000 3.41995189
298 2 4.27493987 0.85498797 3.41995189
299 2 4.27493987 0.00000000 4.27493987
300 1 3.41995189 0.85498797 4.27493987
301 2 3.41995189 0.00000000 5.12992784
302 1 4.27493987 0.85498797 5.12992784
303 2 4.27493987 0.00000000 5.98491581
304 1 3.41995189 0.85498797 5.98491581
305 2 3.41995189 0.00000000 6.83990379
306 2 4.27493987 0.85498797 6.83990379
307 2 4.27493987 0.00000000 7.69489176
308 1 3.41995189 0.85498797 7.69489176
309 1 3.41995189 0.00000000 8.54987973
310 2 4.27493987 0.85498797 8.54987973
311 2 4.27493987 0.00000000 9.40486771
312 1 3.41995189 0.85498797 9.40486771
313 1 3.41995189 1.70997595 0.00000000
314 1 4.27493987 2.56496392 0.00000000
315 1 4.27493987 1.70997595 0.85498797
316 1 3.41995189 2.56496392 0.85498797
317 1 3.41995189 1.70997595 1.70997595
318 2 4.27493987 2.56496392 1.70997595
319 2 4.27493987 1.70997595 2.56496392
320 2 3.41995189 2.56496392 2.56496392
321 2 3.41995189 1.70997595 3.41995189
322 2 4.27493987 2.56496392 3.41995189
323 2 4.27493987 1.70997595 4.27493987
324 2 3.41995189 2.56496392 4.27493987
325 2 3.41995189 1.70997595 5.12992784
326 2 4.27493987 2.56496392 5.12992784
327 1 4.27493987 1.70997595 5.98491581
328 2 3.41995189 2.56496392 5.98491581
329 1 3.41995189 1.70997595 6.83990379
330 2 4.27493987 2.56496392 6.83990379
331 1 4.27493987 1.70997595 7.69489176
332 2 3.41995189 2.56496392 7.69489176
333 1 3.41995189 1.70997595 8.54987973
334 2 4.27493987 2.56496392 8.54987973
335 2 4.27493987 1.70997595 9.40486771
336 2 3.41995189 2.56496392 9.40486771
337 2 3.41995189 3.41995189 0.00000000
338 1 4.27493987 4.27493987 0.00000000
339 2 4.27493987 3.41995189 0.85498797
340 2 3.41995189 4.27493987 0.85498797
341 1 3.41995189 3.41995189 1.70997595
342 2 4.27493987 4.27493987 1.70997595
343 1 4.27493987 3.41995189 2.56496392
344 1 3.41995189 4.27493987 2.56496392
345 2 3.41995189 3.41995189 3.41995189
346 2 4.27493987 4.27493987 3.41995189
347 2 4.27493987 3.41995189 4.27493987
348 1 3.41995189 4.27493987 4.27493987
349 1 3.41995189 3.41995189 5.12992784
350 2 4.27493987 4.27493987 5.12992784
351 1 4.27493987 3.41995189 5.98491581
352 2 3.41995189 4.27493987 5.98491581
353 2 3.41995189 3.41995189 6.83990379
354 2 4.27493987 4.27493987 6.83990379
355 2 4.27493987 3.41995189 7.69489176
356 1 3.41995189 4.27493987 7.69489176
357 2 3.41995189 3.41995189 8.54987973
358 1 4.27493987 4.27493987 8.54987973
359 2 4.27493987 3.41995189 9.40486771
360 1 3.41995189 4.27493987 9.40486771
361 2 3.41995189 5.12992784 0.00000000
362 1 4.27493987 5.98491581 0.00000000
363 1 4.27493987 5.12992784 0.85498797
364 2 3.41995189 5.98491581 0.85498797
365 2 3.41995189 5.12992784 1.70997595
366 2 4.27493987 5.98491581 1.70997595
367 1 4.27493987 5.12992784 2.56496392
368 2 3.41995189 5.98491581 2.56496392
369 1 3.41995189 5.12992784 3.41995189
370 1 4.27493987 5.98491581 3.41995189
371 2 4.27493987 5.12992784 4.27493987
372 1 3.41995189 5.98491581 4.27493987
373 2 3.41995189 5.12992784 5.12992784
374 2 4.27493987 5.98491581 5.12992784
375 1 4.27493987 5.12992784 5.98491581
376 1 3.41995189 5.98491581 5.98491581
377 1 3.41995189 5.12992784 6.83990379
378 2 4.27493987 5.98491581 6.83990379
379 2 4.27493987 5.12992784 7.69489176
380 2 3.41995189 5.98491581 7.69489176
381 2 3.41995189 5.12992784 8.54987973
382 2 4.27493987 5.98491581 8.54987973
383 2 4.27493987 5.12992784 9.40486771
384 1 3.41995189 5.98491581 9.40486771
385 2 3.41995189 6.83990379 0.00000000
386 2 4.27493987 7.69489176 0.00000000
387 1 4.27493987 6.83990379 0.85498797
388 1 3.41995189 7.69489176 0.85498797
389 1 3.41995189 6.83990379 1.70997595
390 2 4.27493987 7.69489176 1.70997595
391 1 4.27493987 6.83990379 2.56496392
392 2 3.41995189 7.69489176 2.56496392
393 2 3.41995189 6.83990379 3.41995189
394 1 4.27493987 7.69489176 3.41995189
395 1 4.27493987 6.83990379 4.27493987
396 2 3.41995189 7.69489176 4.27493987
397 2 3.41995189 6.83990379 5.12992784
398 1 4.27493987 7.69489176 5.12992784
399 2 4.27493987 6.83990379 5.98491581
400 2 3.41995189 7.69489176 5.98491581
401 1 3.41995189 6.83990379 6.83990379
402 1 4.27493987 7.69489176 6.83990379
403 2 4.27493987 6.83990379 7.69489176
404 1 3.41995189 7.69489176 7.69489176
405 2 3.41995189 6.83990379 8.54987973
406 1 4.27493987 7.69489176 8.54987973
407 2 4.27493987 6.83990379 9.40486771
408 1 3.41995189 7.69489176 9.40486771
409 1 3.41995189 8.54987973 0.00000000
410 1 4.27493987 9.40486771 0.00000000
411 2 4.27493987 8.54987973 0.85498797
412 1 3.41995189 9.40486771 0.85498797
413 2 3.41995189 8.54987973 1.70997595
414 2 4.27493987 9.40486771 1.70997595
415 2 4.27493987 8.54987973 2.56496392
416 1 3.41995189 9.40486771 2.56496392
417 2 3.41995189 8.54987973 3.41995189
418 2 4.27493987 9.40486771 3.41995189
419 2 4.27493987 8.54987973 4.27493987
420 2 3.41995189 9.40486771 4.27493987
421 1 3.41995189 8.54987973 5.12992784
422 2 4.27493987 9.40486771 5.12992784
423 2 4.27493987 8.54987973 5.98491581
424 2 3.41995189 9.40486771 5.98491581
425 2 3.41995189 8.54987973 6.83990379
426 1 4.27493987 9.40486771 6.83990379
427 1 4.27493987 8.54987973 7.69489176
428 1 3.41995189 9.40486771 7.69489176
429 1 3.41995189 8.54987973 8.54987973
430 2 4.27493987 9.40486771 8.54987973
431 1 4.27493987 8.54987973 9.40486771
432 2 3.41995189 9.40486771 9.40486771
433 1 5.12992784 0.00000000 0.00000000
434 2 5.98491581 0.85498797 0.00000000
435 1 5.98491581 0.00000000 0.85498797
436 1 5.12992784 0.85498797 0.85498797
437 2 5.12992784 0.00000000 1.70997595
438 2 5.98491581 0.85498797 1.70997595
439 2 5.98491581 0.00000000 2.56496392
440 2 5.12992784 0.85498797 2.56496392
441 1 5.12992784 0.00000000 3.41995189
442 2 5.98491581 0.85498797 3.41995189
443 1 5.98491581 0.00000000 4.27493987
444 2 5.12992784 0.85498797 4.27493987
445 2 5.12992784 0.00000000 5.12992784
446 1 5.98491581 0.85498797 5.12992784
447 1 5.98491581 0.00000000 5.98491581
448 1 5.12992784 0.85498797 5.98491581
449 2 5.12992784 0.00000000 6.83990379
450 1 5.98491581 0.85498797 6.83990379
451 1 5.98491581 0.00000000 7.69489176
452 2 5.12992784 0.85498797 7.69489176
453 2 5.12992784 0.00000000 8.54987973
454 2 5.98491581 0.85498797 8.54987973
455 1 5.98491581 0.00000000 9.40486771
456 2 5.12992784 0.85498797 9.40486771
457 1 5.12992784 1.70997595 0.00000000
458 1 5.98491581 2.56496392 0.00000000
459 2 5.98491581 1.70997595 0.85498797
460 1 5.12992784 2.56496392 0.85498797
461 1 5.12992784 1.70997595 1.70997595
462 1 5.98491581 2.56496392 1.70997595
463 2 5.98491581 1.70997595 2.56496392
464 2 5.12992784 2.56496392 2.56496392
465 1 5.12992784 1.70997595 3.41995189
466 2 5.98491581 2.56496392 3.41995189
467 2 5.98491581 1.70997595 4.27493987
468 2 5.12992784 2.56496392 4.27493987
469 2 5.12992784 1.70997595 5.12992784
470 1 5.98491581 2.56496392 5.12992784
471 1 5.98491581 1.70997595 5.98491581
472 1 5.12992784 2.56496392 5.98491581
473 2 5.12992784 1.70997595 6.83990379
474 1 5.98491581 2.56496392 6.83990379
475 2 5.98491581 1.70997595 7.69489176
476 1 5.12992784 2.56496392 7.69489176
477 1 5.12992784 1.70997595 8.54987973
478 2 5.98491581 2.56496392 8.54987973
479 2 5.98491581 1.70997595 9.40486771
480 2 5.12992784 2.56496392 9.40486771
481 2 5.12992784 3.41995189 0.00000000
482 1 5.98491581 4.27493987 0.00000000
483 1 5.98491581 3.41995189 0.85498797
484 2 5.12992784 4.27493987 0.85498797
485 1 5.12992784 3.41995189 1.70997595
486 2 5.98491581 4.27493987 1.70997595
487 2 5.98491581 3.41995189 2.56496392
488 1 5.12992784 4.27493987 2.56496392
489 1 5.12992784 3.41995189 3.41995189
490 2 5.98491581 4.27493987 3.41995189
491 1 5.98491581 3.41995189 4.27493987
492 2 5.12992784 4.27493987 4.27493987
