Nall = 8000                
rho = 0.04459
type                Na_Na               Na_Cl               Cl_Na               Cl_Cl               
17.05000            0.00000             0.00000             0.00000             0.00000             
17.15000            0.00000             2.91270             2.91270             0.00000             
17.25000            0.00000             0.00000             0.00000             0.00000             
17.35000            8.53780             0.00000             0.00000             8.53780             
17.45000            0.00000             0.00000             0.00000             0.00000             
17.55000            0.00000             0.00000             0.00000             0.00000             
17.65000            0.00000             0.00000             0.00000             0.00000             
17.75000            0.00000             0.00000             0.00000             0.00000             
17.85000            2.68873             0.00000             0.00000             2.68873             
17.95000            0.00000             0.00000             0.00000             0.00000             
18.05000            0.00000             10.51791            10.51791            0.00000             
18.15000            0.00000             0.00000             0.00000             0.00000             
18.25000            5.14432             0.00000             0.00000             5.14432             
18.35000            0.00000             0.00000             0.00000             0.00000             
18.45000            0.00000             2.51670             2.51670             0.00000             
18.55000            0.00000             0.00000             0.00000             0.00000             
18.65000            0.00000             0.00000             0.00000             0.00000             
18.75000            2.43681             0.00000             0.00000             2.43681             
18.85000            0.00000             0.00000             0.00000             0.00000             
18.95000            0.00000             7.15693             7.15693             0.00000             
19.05000            0.00000             0.00000             0.00000             0.00000             
19.15000            4.67215             0.00000             0.00000             4.67215             
19.25000            0.00000             0.00000             0.00000             0.00000             
19.35000            0.00000             0.00000             0.00000             0.00000             
19.45000            0.00000             0.00000             0.00000             0.00000             
19.55000            0.74715             0.00000             0.00000             0.74715             
19.65000            0.00000             0.00000             0.00000             0.00000             
19.75000            0.00000             4.94165             4.94165             0.00000             
19.85000            0.00000             0.00000             0.00000             0.00000             
19.95000            7.53366             0.00000             0.00000             7.53366             
20.05000            0.00000             0.00000             0.00000             0.00000             
20.15000            0.00000             4.21992             4.21992             0.00000             
20.25000            0.00000             0.00000             0.00000             0.00000             
20.35000            2.06869             0.00000             0.00000             2.06869             
20.45000            0.00000             0.00000             0.00000             0.00000             
20.55000            0.00000             6.08586             6.08586             0.00000             
20.65000            0.00000             0.00000             0.00000             0.00000             
20.75000            7.95880             0.00000             0.00000             7.95880             
20.85000            0.00000             0.00000             0.00000             0.00000             
20.95000            0.00000             0.00000             0.00000             0.00000             
21.05000            0.00000             0.00000             0.00000             0.00000             
21.15000            3.83030             0.00000             0.00000             3.83030             
21.25000            0.00000             3.79434             3.79434             0.00000             
21.35000            0.00000             0.00000             0.00000             0.00000             
21.45000            1.86196             0.00000             0.00000             1.86196             
21.55000            0.00000             0.00000             0.00000             0.00000             
21.65000            0.00000             5.48314             5.48314             0.00000             
21.75000            0.00000             0.00000             0.00000             0.00000             
21.85000            0.00000             0.00000             0.00000             0.00000             
21.95000            0.00000             0.00000             0.00000             0.00000             
22.05000            0.00000             5.28601             5.28601             0.00000             
22.15000            0.00000             0.00000             0.00000             0.00000             
22.25000            6.92188             0.00000             0.00000             6.92188             
22.35000            0.00000             0.00000             0.00000             0.00000             
22.45000            0.00000             0.00000             0.00000             0.00000             
22.55000            0.42118             0.00000             0.00000             0.42118             
22.65000            0.00000             0.00000             0.00000             0.00000             
22.75000            0.00000             6.62097             6.62097             0.00000             
22.85000            0.00000             0.00000             0.00000             0.00000             
22.95000            6.50607             0.00000             0.00000             6.50607             
23.05000            0.00000             1.61244             1.61244             0.00000             
23.15000            0.00000             0.00000             0.00000             0.00000             
23.25000            3.16963             0.00000             0.00000             3.16963             
23.35000            0.00000             0.00000             0.00000             0.00000             
23.45000            0.00000             6.23159             6.23159             0.00000             
23.55000            3.08939             0.00000             0.00000             3.08939             
23.65000            0.00000             0.00000             0.00000             0.00000             
23.75000            0.00000             0.00000             0.00000             0.00000             
23.85000            0.00000             0.00000             0.00000             0.00000             
23.95000            2.24029             0.00000             0.00000             2.24029             
24.05000            0.00000             2.96227             2.96227             0.00000             
24.15000            0.00000             0.00000             0.00000             0.00000             
24.25000            7.28401             0.00000             0.00000             7.28401             
24.35000            0.00000             0.00000             0.00000             0.00000             
24.45000            0.00000             3.34382             3.34382             0.00000             
24.55000            1.42142             0.00000             0.00000             1.42142             
24.65000            0.00000             0.00000             0.00000             0.00000             
24.75000            0.00000             5.59415             5.59415             0.00000             
24.85000            0.00000             0.00000             0.00000             0.00000             
24.95000            2.75241             0.00000             0.00000             2.75241             
