bin                 q                   two_theta           Fx                  Icoh               
166                 1.665000            23.556458           -0.956967           11.960477          
167                 1.675000            23.699984           -1.233594           -25.990316         
168                 1.685000            23.843548           -1.519201           -64.921509         
169                 1.695000            23.987150           -1.798695           -102.767941        
170                 1.705000            24.130790           -2.056953           -137.486842        
171                 1.715000            24.274469           -2.279560           -167.158037        
172                 1.725000            24.418186           -2.453522           -190.077705        
173                 1.735000            24.561943           -2.567899           -204.841253        
174                 1.745000            24.705738           -2.614356           -210.411489        
175                 1.755000            24.849574           -2.587584           -206.169065        
176                 1.765000            24.993449           -2.485574           -191.943060        
177                 1.775000            25.137364           -2.309750           -168.020558        
178                 1.785000            25.281319           -2.064937           -135.135086        
179                 1.795000            25.425315           -1.759173           -94.434730         
180                 1.805000            25.569352           -1.403379           -47.431681         
181                 1.815000            25.713430           -1.010896           4.064253           
182                 1.825000            25.857549           -0.596918           58.024994          
183                 1.835000            26.001710           -0.177841           112.292707         
184                 1.845000            26.145912           0.229444            164.673509         
185                 1.855000            26.290157           0.608276            213.032264         
186                 1.865000            26.434445           0.942944            255.384433         
187                 1.875000            26.578774           1.219366            289.981157         
188                 1.885000            26.723147           1.425704            315.384157         
189                 1.895000            26.867564           1.552888            330.527535         
190                 1.905000            27.012023           1.595027            334.764168         
191                 1.915000            27.156527           1.549695            327.895062         
192                 1.925000            27.301074           1.418081            310.180750         
193                 1.935000            27.445666           1.204994            282.334550         
194                 1.945000            27.590302           0.918730            245.498164         
195                 1.955000            27.734983           0.570802            201.200774         
196                 1.965000            27.879709           0.175545            151.303377         
197                 1.975000            28.024481           -0.250384           97.930565          
198                 1.985000            28.169298           -0.688604           43.392388          
199                 1.995000            28.314161           -1.119672           -9.900787          
200                 2.005000            28.459071           -1.523791           -59.527331         
201                 2.015000            28.604026           -1.881538           -103.144130        
202                 2.025000            28.749029           -2.174592           -138.573955        
203                 2.035000            28.894079           -2.386424           -163.887388        
204                 2.045000            29.039176           -2.502939           -177.476512        
205                 2.055000            29.184320           -2.513038           -178.117846        
206                 2.065000            29.329513           -2.409088           -165.022386        
207                 2.075000            29.474753           -2.187273           -137.871026        
208                 2.085000            29.620042           -1.847827           -96.834107         
209                 2.095000            29.765380           -1.395123           -42.574329         
210                 2.105000            29.910767           -0.837629           23.767189          
211                 2.115000            30.056203           -0.187717           100.601418         
212                 2.125000            30.201689           0.538661            185.937644         
213                 2.135000            30.347224           1.322432            277.444098         
214                 2.145000            30.492810           2.141974            372.521133         
215                 2.155000            30.638446           2.973790            468.384702         
216                 2.165000            30.784133           3.793257            562.157486         
217                 2.175000            30.929871           4.575441            650.964698         
218                 2.185000            31.075660           5.295935            732.031398         
219                 2.195000            31.221500           5.931693            802.777959         
220                 2.205000            31.367393           6.461851            860.910370         
221                 2.215000            31.513338           6.868474            904.502075         
222                 2.225000            31.659335           7.137229            932.064297         
223                 2.235000            31.805385           7.257941            942.602079         
224                 2.245000            31.951488           7.225010            935.653744         
225                 2.255000            32.097644           7.037681            911.311963         
226                 2.265000            32.243854           6.700141            870.225276         
227                 2.275000            32.390118           6.221433            813.579609         
228                 2.285000            32.536436           5.615203            743.060053         
229                 2.295000            32.682809           4.899264            660.793948         
230                 2.305000            32.829237           4.094999            569.277082         
231                 2.315000            32.975720           3.226625            471.285499         
232                 2.325000            33.122258           2.320337            369.776081         
233                 2.335000            33.268852           1.403365            267.779584         
234                 2.345000            33.415502           0.502982            168.290217         
235                 2.355000            33.562208           -0.354508           74.156094          
236                 2.365000            33.708971           -1.144739           -12.025038         
237                 2.375000            33.855791           -1.846202           -88.000517         
238                 2.385000            34.002668           -2.441045           -151.943952        
239                 2.395000            34.149603           -2.915734           -202.519391        
240                 2.405000            34.296596           -3.261541           -238.925642        
241                 2.415000            34.443646           -3.474843           -260.918714        
242                 2.425000            34.590756           -3.557198           -268.811266        
243                 2.435000            34.737924           -3.515219           -263.448931        
244                 2.445000            34.885152           -3.360219           -246.164397        
245                 2.455000            35.032438           -3.107670           -218.711135        
246                 2.465000            35.179785           -2.776469           -183.179581        
247                 2.475000            35.327192           -2.388065           -141.899438        
248                 2.485000            35.474659           -1.965472           -97.332382         
249                 2.495000            35.622187           -1.532216           -51.960010         
250                 2.505000            35.769776           -1.111262           -8.172068          
251                 2.515000            35.917426           -0.723973           31.839918          
252                 2.525000            36.065138           -0.389145           66.178724          
253                 2.535000            36.212912           -0.122168           93.322750          
254                 2.545000            36.360748           0.065650            112.188811         
255                 2.555000            36.508647           0.167558            122.173437         
256                 2.565000            36.656609           0.181620            123.170757         
257                 2.575000            36.804634           0.110735            115.566125         
258                 2.585000            36.952723           -0.037580           100.205854         
259                 2.595000            37.100876           -0.251635           78.344520          
260                 2.605000            37.249093           -0.516220           51.572460          
261                 2.615000            37.397375           -0.813438           21.727034          
262                 2.625000            37.545722           -1.123665           -9.207960          
263                 2.635000            37.694134           -1.426615           -39.209716         
264                 2.645000            37.842612           -1.702427           -66.325328         
265                 2.655000            37.991155           -1.932746           -88.776718         
266                 2.665000            38.139765           -2.101721           -105.056306        
267                 2.675000            38.288442           -2.196890           -114.008549        
268                 2.685000            38.437186           -2.209885           -114.893207        
269                 2.695000            38.585997           -2.136939           -107.427053        
270                 2.705000            38.734876           -1.979145           -91.801827         
271                 2.715000            38.883822           -1.742474           -68.677434         
272                 2.725000            39.032837           -1.437533           -39.150599         
273                 2.735000            39.181921           -1.079073           -4.700478          
274                 2.745000            39.331074           -0.685278           32.886157          
275                 2.755000            39.480296           -0.276855           71.606437          
276                 2.765000            39.629588           0.124012            109.345071         
277                 2.775000            39.778950           0.494816            143.984979         
278                 2.785000            39.928383           0.813911            173.519278         
279                 2.795000            40.077887           1.061679            196.158974         
280                 2.805000            40.227461           1.221613            210.430835         
281                 2.815000            40.377107           1.281266            215.260424         
282                 2.825000            40.526825           1.233012            210.036003         
283                 2.835000            40.676616           1.074573            194.649912         
284                 2.845000            40.826479           0.809296            169.515203         
285                 2.855000            40.976414           0.446148            135.556485         
286                 2.865000            41.126424           -0.000564           94.175267          
287                 2.875000            41.276507           -0.511747           47.191328          
288                 2.885000            41.426664           -1.064319           -3.237138          
289                 2.895000            41.576895           -1.632218           -54.710807         
290                 2.905000            41.727201           -2.187568           -104.699250        
291                 2.915000            41.877583           -2.701960           -150.658404        
292                 2.925000            42.028040           -3.147774           -190.149789        
293                 2.935000            42.178573           -3.499483           -220.955702        
294                 2.945000            42.329182           -3.734880           -241.184829        
295                 2.955000            42.479868           -3.836161           -249.363173        
296                 2.965000            42.630631           -3.790813           -244.505940        
297                 2.975000            42.781471           -3.592271           -226.166974        
298                 2.985000            42.932389           -3.240299           -194.463418        
