# Time-averaged data for fix FRDF
# TimeStep Number-of-rows
# Row c_CRDF[1] c_CRDF[2] c_CRDF[3]
10000 200
174 2.16875 1.1644 34.2145
175 2.18125 1.17871 34.9188
176 2.19375 1.13623 35.6057
177 2.20625 1.13505 36.2996
178 2.21875 1.12688 36.9964
179 2.23125 1.10789 37.6892
180 2.24375 1.07257 38.3674
181 2.25625 1.07645 39.0557
182 2.26875 1.05087 39.7351
183 2.28125 1.05896 40.4272
184 2.29375 1.02262 41.103
185 2.30625 1.01814 41.7832
186 2.31875 0.987675 42.4502
187 2.33125 0.970245 43.1125
188 2.34375 0.99276 43.7975
189 2.35625 0.954947 44.4634
190 2.36875 0.965126 45.1436
191 2.38125 0.940486 45.8134
192 2.39375 0.944258 46.493
193 2.40625 0.924402 47.1652
194 2.41875 0.92165 47.8425
195 2.43125 0.908777 48.5172
196 2.44375 0.926193 49.2119
197 2.45625 0.896944 49.8916
198 2.46875 0.888905 50.5721
199 2.48125 0.888054 51.2588
200 2.49375 0.878673 51.9451
30000 200
1 0.00625 0 0
2 0.01875 0 0
3 0.03125 0 0
4 0.04375 0 0
5 0.05625 0 0
6 0.06875 0 0
7 0.08125 0 0
8 0.09375 0 0
9 0.10625 0 0
10 0.11875 0 0
11 0.13125 0 0
12 0.14375 0 0
13 0.15625 0 0
14 0.16875 0 0
15 0.18125 0 0
16 0.19375 0 0
17 0.20625 0 0
18 0.21875 0 0
19 0.23125 0 0
20 0.24375 0 0
21 0.25625 0 0
22 0.26875 0 0
23 0.28125 0 0
24 0.29375 0 0
25 0.30625 0 0
26 0.31875 0 0
27 0.33125 0 0
28 0.34375 0 0
29 0.35625 0 0
30 0.36875 0 0
31 0.38125 0 0
32 0.39375 0 0
33 0.40625 0 0
34 0.41875 0 0
35 0.43125 0 0
36 0.44375 0 0
37 0.45625 0 0
38 0.46875 0 0
39 0.48125 0 0
40 0.49375 0 0
41 0.50625 0 0
42 0.51875 0 0
43 0.53125 0 0
44 0.54375 0 0
45 0.55625 0 0
46 0.56875 0 0
47 0.58125 0 0
48 0.59375 0 0
49 0.60625 0 0
50 0.61875 0 0
51 0.63125 0 0
52 0.64375 0 0
53 0.65625 0 0
54 0.66875 0 0
55 0.68125 0 0
56 0.69375 0 0
57 0.70625 0 0
58 0.71875 0 0
59 0.73125 0 0
60 0.74375 0 0
61 0.75625 0 0
62 0.76875 0 0
63 0.78125 0 0
64 0.79375 0 0
65 0.80625 0 0
66 0.81875 0 0
67 0.83125 0 0
68 0.84375 0 0
69 0.85625 0 0
70 0.86875 0 0
71 0.88125 0.00100114 9.76563e-05
72 0.89375 0 9.76563e-05
73 0.90625 0.00946672 0.00107422
74 0.91875 0.0331591 0.00458984
75 0.93125 0.0806874 0.0133789
76 0.94375 0.170222 0.0324219
77 0.95625 0.381768 0.0762695
78 0.96875 0.606435 0.147754
79 0.98125 0.946378 0.262207
80 0.99375 1.31558 0.425391
81 1.00625 1.64246 0.634277
82 1.01875 1.94102 0.887305
83 1.03125 2.31608 1.19668
84 1.04375 2.45649 1.53281
85 1.05625 2.5095 1.88447
86 1.06875 2.63424 2.2624
87 1.08125 2.64352 2.65059
88 1.09375 2.64128 3.04746
89 1.10625 2.50252 3.43213
90 1.11875 2.45312 3.81777
91 1.13125 2.41622 4.20615
92 1.14375 2.24067 4.57432
93 1.15625 2.17503 4.93955
94 1.16875 1.99272 5.28145
95 1.18125 1.87276 5.60967
96 1.19375 1.74645 5.92227
97 1.20625 1.67358 6.22813
98 1.21875 1.55201 6.51768
99 1.23125 1.50937 6.80508
100 1.24375 1.46511 7.08975
101 1.25625 1.32624 7.35264
102 1.26875 1.25 7.60537
103 1.28125 1.13953 7.84033
104 1.29375 1.10694 8.07305
105 1.30625 1.08038 8.30459
106 1.31875 0.992492 8.52139
107 1.33125 0.968238 8.73691
108 1.34375 0.935238 8.94902
109 1.35625 0.867355 9.14941
110 1.36875 0.856981 9.35107
111 1.38125 0.83502 9.55117
112 1.39375 0.786088 9.74297
113 1.40625 0.79262 9.93984
114 1.41875 0.755152 10.1308
115 1.43125 0.755304 10.3251
116 1.44375 0.743028 10.5196
117 1.45625 0.703196 10.7069
118 1.46875 0.698846 10.8963
119 1.48125 0.698795 11.0889
120 1.49375 0.681574 11.2799
121 1.50625 0.679904 11.4736
122 1.51875 0.669769 11.6677
123 1.53125 0.673801 11.8661
124 1.54375 0.68055 12.0698
125 1.55625 0.652005 12.2682
126 1.56875 0.654294 12.4704
127 1.58125 0.629375 12.6681
128 1.59375 0.666374 12.8807
129 1.60625 0.641578 13.0886
130 1.61875 0.675325 13.3108
131 1.63125 0.676702 13.537
132 1.64375 0.70616 13.7767
133 1.65625 0.701777 14.0185
134 1.66875 0.71336 14.268
135 1.68125 0.706918 14.5189
136 1.69375 0.73853 14.7851
137 1.70625 0.728817 15.0516
138 1.71875 0.751154 15.3303
139 1.73125 0.782111 15.6247
140 1.74375 0.801366 15.9308
141 1.75625 0.840666 16.2564
142 1.76875 0.841749 16.5872
143 1.78125 0.87384 16.9354
144 1.79375 0.874269 17.2888
145 1.80625 0.886518 17.6521
146 1.81875 0.927495 18.0374
147 1.83125 0.923223 18.4263
148 1.84375 0.961065 18.8366
149 1.85625 0.979981 19.2607
150 1.86875 1.03794 19.716
151 1.88125 1.03561 20.1764
152 1.89375 1.0428 20.6461
153 1.90625 1.06255 21.1311
154 1.91875 1.09288 21.6364
155 1.93125 1.08941 22.1468
156 1.94375 1.14027 22.6879
157 1.95625 1.16252 23.2467
158 1.96875 1.14439 23.8038
159 1.98125 1.17932 24.3853
160 1.99375 1.19998 24.9844
161 2.00625 1.19589 25.589
162 2.01875 1.18513 26.1956
163 2.03125 1.18642 26.8104
164 2.04375 1.20025 27.4401
165 2.05625 1.22762 28.0921
166 2.06875 1.21193 28.7436
167 2.08125 1.22739 29.4113
168 2.09375 1.24647 30.0977
169 2.10625 1.19632 30.7643
170 2.11875 1.25326 31.4709
171 2.13125 1.21703 32.1652
172 2.14375 1.18562 32.8496
173 2.15625 1.21757 33.5606
174 2.16875 1.1601 34.246
175 2.18125 1.17381 34.9475
176 2.19375 1.16677 35.6527
177 2.20625 1.16189 36.3631
178 2.21875 1.10303 37.0451
179 2.23125 1.12632 37.7494
180 2.24375 1.0806 38.4327
181 2.25625 1.04361 39.1
182 2.26875 1.04151 39.7733
183 2.28125 1.03371 40.449
184 2.29375 1.01745 41.1214
185 2.30625 0.991979 41.7841
186 2.31875 1.00633 42.4637
187 2.33125 0.97983 43.1325
188 2.34375 1.00309 43.8246
189 2.35625 0.96657 44.4986
190 2.36875 0.944479 45.1643
191 2.38125 0.939937 45.8337
192 2.39375 0.929061 46.5023
193 2.40625 0.924536 47.1747
194 2.41875 0.905702 47.8402
195 2.43125 0.908645 48.5148
196 2.44375 0.904321 49.1932
197 2.45625 0.906996 49.8805
198 2.46875 0.890946 50.5625
199 2.48125 0.884896 51.2468
200 2.49375 0.895426 51.9462
40000 200
1 0.00625 0 0
2 0.01875 0 0
3 0.03125 0 0
4 0.04375 0 0
5 0.05625 0 0
6 0.06875 0 0
7 0.08125 0 0
8 0.09375 0 0
9 0.10625 0 0
10 0.11875 0 0
11 0.13125 0 0
12 0.14375 0 0
13 0.15625 0 0
14 0.16875 0 0
15 0.18125 0 0
16 0.19375 0 0
17 0.20625 0 0
18 0.21875 0 0
19 0.23125 0 0
20 0.24375 0 0
21 0.25625 0 0
22 0.26875 0 0
23 0.28125 0 0
24 0.29375 0 0
25 0.30625 0 0
26 0.31875 0 0
27 0.33125 0 0
28 0.34375 0 0
29 0.35625 0 0
30 0.36875 0 0
31 0.38125 0 0
32 0.39375 0 0
33 0.40625 0 0
34 0.41875 0 0
35 0.43125 0 0
36 0.44375 0 0
37 0.45625 0 0
38 0.46875 0 0
39 0.48125 0 0
40 0.49375 0 0
41 0.50625 0 0
42 0.51875 0 0
43 0.53125 0 0
44 0.54375 0 0
45 0.55625 0 0
46 0.56875 0 0
47 0.58125 0 0
48 0.59375 0 0
49 0.60625 0 0
50 0.61875 0 0
51 0.63125 0 0
52 0.64375 0 0
53 0.65625 0 0
54 0.66875 0 0
55 0.68125 0 0
56 0.69375 0 0
57 0.70625 0 0
58 0.71875 0 0
59 0.73125 0 0
60 0.74375 0 0
61 0.75625 0 0
62 0.76875 0 0
63 0.78125 0 0
64 0.79375 0 0
65 0.80625 0 0
66 0.81875 0 0
67 0.83125 0 0
68 0.84375 0 0
69 0.85625 0 0
70 0.86875 0 0
71 0.88125 0 0
72 0.89375 0.00389335 0.000390625
73 0.90625 0.0066267 0.00107422
74 0.91875 0.0248694 0.00371094
75 0.93125 0.0860666 0.0130859
76 0.94375 0.193792 0.0347656
77 0.95625 0.344356 0.0743164
78 0.96875 0.647858 0.150684
79 0.98125 0.948801 0.26543
80 0.99375 1.27858 0.424023
81 1.00625 1.59793 0.627246
82 1.01875 1.99645 0.8875
83 1.03125 2.2576 1.18906
84 1.04375 2.42295 1.52061
85 1.05625 2.55201 1.87822
86 1.06875 2.64718 2.25801
87 1.08125 2.74394 2.66094
