# Time-averaged data for fix FMSD
# TimeStep c_CMSD[1] c_CMSD[2] c_CMSD[3] c_CMSD[4]
24900 16.7188 17.655 16.9584 51.3323
25000 16.7657 17.7639 17.0252 51.5547
25100 16.8193 17.8765 17.0848 51.7806
25200 16.9039 17.9219 17.1393 51.9651
25300 16.9228 17.8887 17.245 52.0566
25400 17.0117 17.9033 17.3074 52.2223
25500 17.1196 17.8607 17.3643 52.3446
25600 17.1318 17.9331 17.3605 52.4254
25700 17.1271 17.9867 17.552 52.6657
25800 17.1914 18.1092 17.6699 52.9705
25900 17.2498 18.2415 17.6336 53.125
26000 17.2888 18.2803 17.7347 53.3038
26100 17.325 18.32 17.8207 53.4656
26200 17.3512 18.3618 17.8736 53.5866
26300 17.4483 18.4296 17.9272 53.8051
26400 17.5394 18.4819 18.1026 54.1239
26500 17.5795 18.6349 18.1893 54.4037
26600 17.6425 18.7418 18.2358 54.6201
26700 17.6796 18.7782 18.3382 54.796
26800 17.7614 18.8557 18.3577 54.9749
26900 17.885 18.9717 18.4242 55.2808
27000 17.9923 19.0387 18.4495 55.4805
27100 18.0675 19.0857 18.502 55.6552
27200 18.2114 19.2332 18.4617 55.9063
27300 18.2689 19.3656 18.5268 56.1613
27400 18.327 19.4668 18.6422 56.436
27500 18.339 19.5758 18.7864 56.7012
27600 18.4286 19.7127 18.9427 57.084
27700 18.5181 19.7843 19.1259 57.4284
27800 18.6166 19.8955 19.0675 57.5796
27900 18.7443 19.9395 19.1765 57.8603
28000 18.7034 20.0014 19.1613 57.8661
28100 18.7052 20.108 19.3017 58.1148
28200 18.8313 20.2211 19.4334 58.4858
28300 18.8191 20.3841 19.519 58.7222
28400 18.8241 20.4715 19.6085 58.9041
28500 18.9034 20.5402 19.6465 59.0901
28600 19.0316 20.7286 19.7011 59.4613
28700 19.1141 20.8407 19.725 59.6797
28800 19.2117 20.9283 19.8592 59.9992
28900 19.2971 20.9238 19.8959 60.1169
29000 19.3031 20.9986 19.8731 60.1748
29100 19.3379 21.1115 20.0291 60.4785
29200 19.3543 21.1424 20.0499 60.5465
29300 19.3974 21.2494 20.1649 60.8117
29400 19.4137 21.3472 20.2336 60.9945
29500 19.4768 21.4271 20.3288 61.2327
29600 19.5227 21.4757 20.4164 61.4147
29700 19.5704 21.6659 20.4495 61.6859
29800 19.6435 21.7289 20.5062 61.8787
29900 19.6393 21.7785 20.5634 61.9811
30000 19.7462 21.893 20.6466 62.2857
30100 19.7798 21.9298 20.6924 62.402
30200 19.8443 22.0515 20.7431 62.6389
30300 19.9246 22.1698 20.8343 62.9287
30400 19.9953 22.2162 20.8672 63.0786
30500 19.9954 22.3411 20.9419 63.2784
30600 20.061 22.3847 21.077 63.5227
30700 20.133 22.4181 21.1217 63.6729
30800 20.1779 22.4371 21.2126 63.8276
30900 20.3354 22.4545 21.2509 64.0408
31000 20.3907 22.5057 21.2707 64.1671
31100 20.4597 22.6298 21.336 64.4254
31200 20.5552 22.7852 21.4536 64.7939
31300 20.6189 22.9028 21.4218 64.9435
31400 20.6515 22.9686 21.5537 65.1738
31500 20.7335 23.106 21.6405 65.48
31600 20.7998 23.1928 21.7052 65.6978
31700 20.8663 23.221 21.7117 65.799
31800 20.9119 23.2803 21.6695 65.8617
31900 20.9485 23.2748 21.6216 65.8448
32000 21.0596 23.3526 21.6448 66.057
32100 21.1 23.4019 21.6885 66.1904
32200 21.1837 23.482 21.7471 66.4128
32300 21.2882 23.5576 21.73 66.5758
32400 21.3527 23.7333 21.8653 66.9513
32500 21.3741 23.7534 22.0077 67.1352
32600 21.5513 23.9055 22.0907 67.5475
32700 21.639 24.0066 22.0627 67.7082
32800 21.6513 24.2682 22.1416 68.0611
32900 21.697 24.3391 22.2397 68.2758
33000 21.7232 24.3657 22.2757 68.3646
33100 21.7041 24.5126 22.2768 68.4934
33200 21.7859 24.6618 22.3549 68.8026
33300 21.9167 24.64 22.3991 68.9557
33400 22.0419 24.8017 22.4999 69.3435
33500 22.1988 24.7908 22.6243 69.6138
33600 22.276 24.9584 22.6307 69.8652
33700 22.3435 25.0957 22.7522 70.1913
33800 22.4259 25.2101 22.9207 70.5567
33900 22.4604 25.3409 23.0549 70.8562
34000 22.5061 25.3405 23.0699 70.9164
34100 22.5393 25.3757 22.9871 70.902
34200 22.5574 25.3789 23.1084 71.0446
34300 22.6245 25.5013 23.124 71.2497
34400 22.6244 25.5553 23.3003 71.48
34500 22.6945 25.638 23.4069 71.7394
34600 22.7332 25.687 23.5573 71.9775
34700 22.7962 25.807 23.6571 72.2604
34800 22.9113 25.9932 23.7001 72.6046
34900 23.003 26.1075 23.7688 72.8793
35000 23.1934 26.2613 23.7594 73.2142
35100 23.3076 26.4005 23.9253 73.6334
35200 23.4234 26.4301 23.9869 73.8404
35300 23.5188 26.5395 24.0932 74.1515
35400 23.5858 26.6518 24.1684 74.406
35500 23.6557 26.8237 24.1519 74.6313
35600 23.7062 26.8765 24.2331 74.8158
35700 23.8794 26.9787 24.3073 75.1654
35800 23.944 27.1459 24.3085 75.3985
35900 23.9063 27.236 24.2986 75.4409
36000 23.9439 27.3751 24.4039 75.7229
36100 23.9457 27.5065 24.4718 75.9241
36200 23.9422 27.7325 24.5243 76.1989
36300 24.0514 27.7925 24.5828 76.4266
36400 24.1917 27.8789 24.6709 76.7415
36500 24.2791 28.0113 24.7238 77.0142
36600 24.48 28.1871 24.7151 77.3821
36700 24.6173 28.2117 24.8225 77.6515
36800 24.6627 28.268 24.8338 77.7645
36900 24.72 28.3183 24.8922 77.9304
37000 24.8238 28.392 25.0316 78.2473
37100 25.002 28.4649 25.1073 78.5742
37200 25.1655 28.5299 25.1921 78.8876
37300 25.2869 28.4656 25.3105 79.063
37400 25.4031 28.5556 25.3866 79.3453
37500 25.557 28.5737 25.5015 79.6321
37600 25.5982 28.6076 25.5027 79.7085
37700 25.6175 28.6688 25.5541 79.8403
37800 25.679 28.7814 25.5959 80.0563
37900 25.8091 28.8227 25.7558 80.3876
38000 25.9224 28.9185 25.7676 80.6085
38100 26.1644 28.981 25.8114 80.9568
38200 26.1684 29.1088 25.9185 81.1957
38300 26.2598 29.1108 25.9886 81.3592
38400 26.3264 29.1543 25.9655 81.4462
38500 26.2696 29.2089 25.9934 81.4719
38600 26.5125 29.245 26.0377 81.7952
38700 26.6319 29.3185 26.1229 82.0733
38800 26.7081 29.3762 26.0969 82.1812
38900 26.7253 29.4765 26.2188 82.4206
39000 26.9075 29.3781 26.2322 82.5178
39100 27.057 29.4915 26.3898 82.9383
39200 27.2023 29.5118 26.4199 83.1341
39300 27.3762 29.7497 26.4426 83.5685
39400 27.3789 29.8877 26.5126 83.7792
39500 27.5122 29.8726 26.6389 84.0237
39600 27.6359 30.0579 26.6816 84.3754
39700 27.7177 30.2135 26.653 84.5843
39800 27.7497 30.3616 26.7934 84.9047
39900 27.7054 30.4332 26.8358 84.9744
40000 27.6821 30.5876 26.9656 85.2353
40100 27.8129 30.7037 27.1138 85.6304
40200 27.8044 30.7762 27.1963 85.7769
40300 27.8965 30.7676 27.3152 85.9793
40400 27.9133 30.8951 27.4563 86.2647
40500 27.9784 30.9672 27.5208 86.4664
40600 28.0579 31.051 27.5511 86.66
40700 28.0914 31.0299 27.5943 86.7156
40800 28.1214 31.1363 27.7461 87.0038
40900 28.164 31.2295 27.6644 87.058
41000 28.2688 31.415 27.7877 87.4716
41100 28.4548 31.659 27.8771 87.991
41200 28.5719 31.7522 27.8331 88.1572
41300 28.6342 31.9925 27.9931 88.6199
41400 28.731 31.9165 28.1502 88.7977
41500 28.7597 32.0091 28.2421 89.0109
41600 28.8378 32.0308 28.3042 89.1728
41700 29.0098 32.1125 28.3559 89.4783
41800 28.9889 32.1072 28.3911 89.4871
41900 29.0513 32.1902 28.4099 89.6513
42000 29.1665 32.2206 28.4189 89.806
42100 29.2822 32.2268 28.4478 89.9567
42200 29.3422 32.2001 28.6264 90.1688
42300 29.4262 32.1586 28.6903 90.275
42400 29.5706 32.2527 28.8105 90.6337
42500 29.7022 32.2957 28.9159 90.9138
42600 29.767 32.3488 28.9154 91.0311
42700 29.8196 32.4666 28.9949 91.2812
42800 29.9227 32.5806 28.9867 91.49
42900 29.9761 32.5976 29.0653 91.6389
43000 29.9417 32.7365 28.9699 91.648
43100 29.9955 32.8734 28.9907 91.8596
43200 30.0388 32.962 29.0393 92.04
43300 30.0967 33.0064 29.173 92.276
43400 30.1843 33.0553 29.2332 92.4728
43500 30.1634 33.2329 29.408 92.8043
43600 30.1579 33.4159 29.4183 92.9921
43700 30.226 33.5563 29.3979 93.1802
43800 30.3891 33.59 29.5035 93.4826
43900 30.3839 33.7804 29.6561 93.8204
44000 30.5797 33.8361 29.6707 94.0865
44100 30.6185 33.8174 29.6881 94.124
44200 30.7729 33.835 29.7213 94.3292
44300 30.8065 33.9611 29.9237 94.6913
44400 31.0957 34.1329 29.9649 95.1936
44500 31.0875 34.112 29.9768 95.1763
44600 31.1935 34.0901 30.0506 95.3342
44700 31.3127 34.2496 30.2268 95.7891
44800 31.5342 34.2624 30.2685 96.0651
44900 31.5758 34.463 30.2911 96.3299
45000 31.552 34.4067 30.3742 96.3328
45100 31.6049 34.4941 30.4241 96.5231
45200 31.8436 34.5992 30.4394 96.8822
45300 31.8688 34.6519 30.513 97.0338
45400 31.8384 34.6866 30.5612 97.0862
45500 31.8204 34.6365 30.6711 97.128
45600 31.8972 34.6652 30.7217 97.2842
45700 31.9522 34.6537 30.8092 97.4151
45800 32.0432 34.7274 30.8151 97.5856
45900 32.1345 34.8926 30.9139 97.941
46000 32.2882 35.0146 30.9799 98.2828
46100 32.4313 35.0479 30.9369 98.4161
46200 32.4753 35.1467 31.1252 98.7473
46300 32.472 35.2163 31.1979 98.8862
46400 32.5463 35.268 31.4156 99.2299
46500 32.604 35.3575 31.4346 99.3961
46600 32.7105 35.3569 31.5268 99.5942
46700 32.723 35.4859 31.5685 99.7775
46800 32.7556 35.5504 31.6438 99.9498
46900 32.7197 35.6726 31.7248 100.117
47000 32.809 35.7611 31.7599 100.33
47100 32.8491 35.9636 31.8412 100.654
47200 32.966 35.9664 31.8987 100.831
47300 33.0499 35.9997 31.9202 100.97
47400 33.1015 36.1918 32.0059 101.299
47500 33.1892 36.2889 31.9217 101.4
47600 33.2372 36.3549 32.0371 101.629
47700 33.3876 36.5303 32.0483 101.966
47800 33.47 36.5258 32.0654 102.061
