time                 x                    y                    z                    total               
207.000000           10.561539            11.108355            9.701696             31.371590           
208.000000           10.615990            11.165317            9.751028             31.532336           
209.000000           10.669975            11.222145            9.800441             31.692561           
210.000000           10.724560            11.278937            9.850030             31.853528           
211.000000           10.779040            11.335716            9.899191             32.013946           
212.000000           10.833334            11.392788            9.948070             32.174193           
213.000000           10.887651            11.449498            9.996917             32.334065           
214.000000           10.942506            11.506778            10.045819            32.495104           
215.000000           10.997525            11.564474            10.093973            32.655972           
216.000000           11.053105            11.622204            10.142614            32.817923           
217.000000           11.108612            11.679825            10.191458            32.979894           
218.000000           11.163699            11.737431            10.241226            33.142356           
219.000000           11.219017            11.796296            10.291178            33.306491           
220.000000           11.274655            11.855135            10.340932            33.470722           
221.000000           11.329807            11.913906            10.390953            33.634665           
222.000000           11.384848            11.973279            10.440783            33.798909           
223.000000           11.440583            12.032304            10.490718            33.963605           
224.000000           11.496155            12.091665            10.540672            34.128492           
225.000000           11.552617            12.151902            10.590171            34.294690           
226.000000           11.609543            12.211990            10.639900            34.461433           
227.000000           11.667327            12.272114            10.689646            34.629087           
228.000000           11.725310            12.332482            10.739587            34.797378           
229.000000           11.783071            12.393389            10.789449            34.965910           
230.000000           11.840511            12.454397            10.839370            35.134278           
231.000000           11.897805            12.515593            10.888752            35.302150           
232.000000           11.954637            12.576761            10.938075            35.469473           
233.000000           12.011152            12.637388            10.987686            35.636226           
234.000000           12.067916            12.698337            11.037565            35.803818           
235.000000           12.124961            12.759721            11.087640            35.972322           
236.000000           12.182393            12.820794            11.138166            36.141353           
237.000000           12.239903            12.881296            11.188826            36.310025           
238.000000           12.297205            12.941989            11.238997            36.478191           
239.000000           12.354842            13.002380            11.288947            36.646169           
240.000000           12.412173            13.061985            11.338863            36.813021           
241.000000           12.469599            13.121787            11.388695            36.980082           
242.000000           12.527362            13.181020            11.438753            37.147135           
243.000000           12.584937            13.240739            11.488756            37.314432           
244.000000           12.643026            13.300256            11.539203            37.482485           
245.000000           12.701674            13.359635            11.590346            37.651655           
246.000000           12.759543            13.418558            11.641400            37.819501           
247.000000           12.817731            13.477404            11.692747            37.987882           
248.000000           12.876207            13.535840            11.743155            38.155203           
249.000000           12.934701            13.594465            11.793079            38.322245           
