# time  <Rg>_chains  <Rg^2>_chains
3.040000000000000000e+02 1.080410039572437864e+00 1.227440971390258539e+00
3.060000000000000000e+02 1.119331090147990038e+00 1.317249404781854594e+00
3.080000000000000000e+02 1.123114053180725103e+00 1.335824916828215692e+00
3.100000000000000000e+02 1.118014871311735270e+00 1.319999026820617871e+00
3.120000000000000000e+02 1.105711873638648424e+00 1.299701546617299641e+00
3.140000000000000000e+02 1.099148468851159688e+00 1.279377148417623289e+00
3.160000000000000000e+02 1.126145277371120690e+00 1.344879435342065221e+00
3.180000000000000000e+02 1.133878012866283314e+00 1.362257444303661913e+00
3.200000000000000000e+02 1.132324278501910086e+00 1.361905908368957085e+00
3.220000000000000000e+02 1.113886068311010114e+00 1.316207533643911631e+00
3.240000000000000000e+02 1.098855671577243065e+00 1.290042660344145276e+00
3.260000000000000000e+02 1.079263053321720900e+00 1.229606412497423307e+00
3.280000000000000000e+02 1.096329382630396143e+00 1.277786558982878518e+00
3.300000000000000000e+02 1.094168121603558808e+00 1.273252441306707894e+00
3.320000000000000000e+02 1.102161111743520383e+00 1.296681591580911785e+00
3.340000000000000000e+02 1.096256728874764441e+00 1.297272577206619815e+00
3.360000000000000000e+02 1.094313825448002042e+00 1.285510356501411877e+00
3.380000000000000000e+02 1.101854950052922444e+00 1.304781810942500897e+00
3.400000000000000000e+02 1.117461562724413771e+00 1.322508019487408149e+00
3.420000000000000000e+02 1.126359656995603142e+00 1.355973124829679577e+00
3.440000000000000000e+02 1.156879551614686141e+00 1.414805533879059496e+00
3.460000000000000000e+02 1.148967259594652734e+00 1.405630283582457452e+00
3.480000000000000000e+02 1.134498094707056204e+00 1.380464820790715308e+00
3.500000000000000000e+02 1.131757320107243059e+00 1.359924958419403751e+00
3.520000000000000000e+02 1.124420317591503515e+00 1.346332580770447152e+00
3.540000000000000000e+02 1.112441536280829979e+00 1.313962044888222991e+00
3.560000000000000000e+02 1.075544273312572852e+00 1.240477705171672440e+00
3.580000000000000000e+02 1.093843997523040734e+00 1.268002124628756278e+00
3.600000000000000000e+02 1.124010240539010219e+00 1.335985916429594411e+00
3.620000000000000000e+02 1.146429901616060842e+00 1.378603833048300586e+00
3.640000000000000000e+02 1.148283533792826994e+00 1.396532862169312494e+00
3.660000000000000000e+02 1.151039143155060618e+00 1.417556745957636366e+00
3.680000000000000000e+02 1.136543111208080159e+00 1.392883058775401750e+00
3.700000000000000000e+02 1.115718535864684835e+00 1.343126696441292012e+00
3.720000000000000000e+02 1.124347755429324636e+00 1.347256296556967214e+00
3.740000000000000000e+02 1.130645609062683965e+00 1.379370065835038517e+00
3.760000000000000000e+02 1.109177622985041189e+00 1.311308086029240982e+00
3.780000000000000000e+02 1.110055155277868355e+00 1.311496934600173248e+00
3.800000000000000000e+02 1.100808924528257293e+00 1.278312844734564635e+00
3.820000000000000000e+02 1.102528928658033980e+00 1.286260422115924840e+00
3.840000000000000000e+02 1.100066472411261209e+00 1.287746576146343358e+00
3.860000000000000000e+02 1.091181847175437314e+00 1.270563951732254893e+00
3.880000000000000000e+02 1.111386296486825742e+00 1.316354441263657193e+00
3.900000000000000000e+02 1.125123523504492073e+00 1.350940549473191865e+00
3.920000000000000000e+02 1.080155224710880546e+00 1.239413723703716386e+00
3.940000000000000000e+02 1.065627561449745242e+00 1.203006800007948129e+00
3.960000000000000000e+02 1.085329997258101420e+00 1.238230974180842381e+00
3.980000000000000000e+02 1.086965319823723464e+00 1.260412296435555746e+00
4.000000000000000000e+02 1.079606725428405190e+00 1.242020305280087555e+00
4.020000000000000000e+02 1.091468082736821721e+00 1.269210360444150254e+00
4.040000000000000000e+02 1.097835896607370909e+00 1.294256636259271787e+00
4.060000000000000000e+02 1.119761984304504576e+00 1.344151784880850187e+00
4.080000000000000000e+02 1.108400219248664609e+00 1.314906314407624066e+00
4.100000000000000000e+02 1.141406752833072913e+00 1.406809941723626167e+00
4.120000000000000000e+02 1.124547577080427185e+00 1.368170189022295702e+00
4.140000000000000000e+02 1.127043213997037885e+00 1.371681090853970275e+00
4.160000000000000000e+02 1.149029332101128675e+00 1.421979935979022613e+00
4.180000000000000000e+02 1.139216786069617182e+00 1.398868636057278181e+00
4.200000000000000000e+02 1.127831574508961099e+00 1.377319442583136322e+00
4.220000000000000000e+02 1.127666917380043543e+00 1.353766395287674840e+00
4.240000000000000000e+02 1.104016271425202422e+00 1.298792754995918841e+00
4.260000000000000000e+02 1.100260634701709206e+00 1.289099668488837835e+00
4.280000000000000000e+02 1.099621084821051920e+00 1.298923057188014596e+00
4.300000000000000000e+02 1.126939987336798232e+00 1.357613464660152758e+00
4.320000000000000000e+02 1.107041553205840634e+00 1.313041827895931490e+00
4.340000000000000000e+02 1.091054300697414492e+00 1.279876622157752664e+00
4.360000000000000000e+02 1.102432827005174421e+00 1.308995268915463583e+00
4.380000000000000000e+02 1.094767413527397704e+00 1.296518104009532379e+00
4.400000000000000000e+02 1.104647714897837529e+00 1.309928630303444308e+00
4.420000000000000000e+02 1.106912929162272130e+00 1.333026218131115215e+00
4.440000000000000000e+02 1.112913910045641996e+00 1.329595801591313631e+00
4.460000000000000000e+02 1.082366850608511566e+00 1.245781039139570723e+00
4.480000000000000000e+02 1.109847545847959527e+00 1.324007933578824847e+00
4.500000000000000000e+02 1.121638215011705242e+00 1.350510066967510525e+00
4.520000000000000000e+02 1.143949861487911335e+00 1.394466952910478952e+00
4.540000000000000000e+02 1.143408477663769851e+00 1.390219715672513345e+00
4.560000000000000000e+02 1.122000442656765795e+00 1.344295306611623886e+00
4.580000000000000000e+02 1.105701439225164506e+00 1.303309304244812949e+00
4.600000000000000000e+02 1.112784407970420109e+00 1.320842272596987499e+00
4.620000000000000000e+02 1.106428313057691515e+00 1.304668442566001119e+00
4.640000000000000000e+02 1.096063886934168785e+00 1.267890747558945819e+00
4.660000000000000000e+02 1.113881628612309882e+00 1.319611784118265518e+00
4.680000000000000000e+02 1.123639966775169530e+00 1.336818218643644585e+00
4.700000000000000000e+02 1.133543904419538562e+00 1.366225714821149850e+00
4.720000000000000000e+02 1.100162328448882842e+00 1.293442990050236219e+00
4.740000000000000000e+02 1.083322353430797857e+00 1.253701077118794416e+00
4.760000000000000000e+02 1.089777202964957947e+00 1.264407091605637135e+00
4.780000000000000000e+02 1.070793981579604370e+00 1.219284533209513910e+00
4.800000000000000000e+02 1.079208985775346630e+00 1.229878015696835192e+00
4.820000000000000000e+02 1.079897744381812075e+00 1.232241155622432416e+00
4.840000000000000000e+02 1.067572273197870958e+00 1.211543962211738545e+00
4.860000000000000000e+02 1.076295038176706020e+00 1.235569824028958763e+00
4.880000000000000000e+02 1.056328737640199300e+00 1.189101139833670828e+00
4.900000000000000000e+02 1.033940491593811961e+00 1.143654992591462971e+00
4.920000000000000000e+02 1.062130425251314403e+00 1.208635333720895488e+00
4.940000000000000000e+02 1.070079439334245208e+00 1.226978236330651839e+00
4.960000000000000000e+02 1.059536814886706590e+00 1.202023475890431570e+00
4.980000000000000000e+02 1.057340596379390485e+00 1.187441114194164982e+00
5.000000000000000000e+02 1.079577153727294014e+00 1.235085177052916094e+00
5.020000000000000000e+02 1.107720452498950126e+00 1.289373729210193886e+00
5.040000000000000000e+02 1.091919085255506516e+00 1.262470512223181629e+00
5.060000000000000000e+02 1.106245862276610925e+00 1.295316719088196677e+00
5.080000000000000000e+02 1.091982465090216792e+00 1.269167175476582088e+00
5.100000000000000000e+02 1.090654892608902582e+00 1.274002055437218672e+00
5.120000000000000000e+02 1.086615708899859367e+00 1.273955781234310081e+00
5.140000000000000000e+02 1.112999717637789043e+00 1.320691152658193701e+00
5.160000000000000000e+02 1.118558594852169241e+00 1.331578164999069003e+00
5.180000000000000000e+02 1.124806139148376127e+00 1.355942659785849713e+00
5.200000000000000000e+02 1.145093537234569414e+00 1.407664150855564955e+00
5.220000000000000000e+02 1.125292984255705342e+00 1.355695594894433142e+00
5.240000000000000000e+02 1.099304845278253229e+00 1.283771346076422404e+00
5.260000000000000000e+02 1.090702546420583285e+00 1.258610364346061772e+00
5.280000000000000000e+02 1.087962165174463092e+00 1.246993765087150763e+00
5.300000000000000000e+02 1.095388228495929983e+00 1.273219872113628526e+00
5.320000000000000000e+02 1.104926807888215956e+00 1.296763358292718493e+00
5.340000000000000000e+02 1.084828022462854591e+00 1.245594952607497419e+00
5.360000000000000000e+02 1.102398337819322061e+00 1.284253861578118716e+00
5.380000000000000000e+02 1.102436816043957712e+00 1.290874540030692685e+00
5.400000000000000000e+02 1.108741316409205924e+00 1.295254478691036937e+00
5.420000000000000000e+02 1.110350954379736521e+00 1.308462820584628261e+00
5.440000000000000000e+02 1.110110642083851351e+00 1.296845850142897660e+00
5.460000000000000000e+02 1.112061990534107814e+00 1.307658392098410616e+00
5.480000000000000000e+02 1.112837761187809305e+00 1.326265980402210332e+00
5.500000000000000000e+02 1.115592292952149789e+00 1.319646303735312998e+00
5.520000000000000000e+02 1.115121945675951132e+00 1.311645111146338749e+00
